ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000169221.14,TBC1D10B,TBC1D10B,-0.145,-0.439,0.149,5.518,-1.007,0.321906021912985,0.704509273042249,-6.50923885486584
ENSG00000100302.7,RASD2,RASD2,1.666,-1.714,5.045,-3.702,1.007,0.321969440413047,0.704573683074259,-5.09242429977471
ENSG00000178741.12,COX5A,COX5A,-0.2,-0.607,0.206,6.611,-1.007,0.322013012905927,0.704594654585166,-6.57324747244548
ENSG00000289584.1,,,-0.97,-2.94,0.999,-3.94,-1.007,0.322071554583735,0.704648372192172,-5.23917673667405
ENSG00000157064.11,NMNAT2,NMNAT2,-1.273,-3.858,1.311,2.571,-1.007,0.322216369393154,0.704890812317443,-5.63160699523627
ENSG00000149531.15,FRG1BP,FRG1BP,-0.36,-1.09,0.371,1.28,-1.007,0.322271481503595,0.704936985498525,-5.82484189821895
ENSG00000119682.18,AREL1,AREL1,0.226,-0.233,0.686,5.865,1.007,0.322354385181657,0.705043933827362,-6.53249241329285
ENSG00000139178.12,C1RL,C1RL,-0.525,-1.59,0.541,5.241,-1.006,0.322432936158005,0.705088258334949,-6.30685804483688
ENSG00000078140.14,UBE2K,UBE2K,0.19,-0.196,0.577,6.777,1.006,0.322469032521964,0.705088258334949,-6.58276144205912
ENSG00000117868.18,ESYT2,ESYT2,-0.179,-0.543,0.185,7.085,-1.006,0.322527185761885,0.705088258334949,-6.57927442193262
ENSG00000227896.2,WAPL-DT,WAPL-DT,-0.502,-1.521,0.518,-1.247,-1.006,0.322546323671899,0.705088258334949,-5.46594946289522
ENSG00000273192.1,,,-0.503,-1.523,0.518,-2.24,-1.006,0.322560782126216,0.705088258334949,-5.35261954418482
ENSG00000205060.11,SLC35B4,SLC35B4,-0.237,-0.719,0.245,4.369,-1.006,0.322578728511754,0.705088258334949,-6.28862009238371
ENSG00000259803.8,SLC22A31,SLC22A31,1.897,-1.957,5.75,-1.258,1.006,0.32262106394457,0.705104044254116,-5.26189738482915
ENSG00000247516.8,MIR4458HG,MIR4458HG,-0.364,-1.104,0.376,1.735,-1.006,0.322653977992983,0.705104044254116,-5.89711462646581
ENSG00000119703.15,ZC2HC1C,ZC2HC1C,-0.759,-2.302,0.784,1.22,-1.006,0.322804241146744,0.70528739099945,-5.5144401088016
ENSG00000165309.14,ARMC3,ARMC3,-2.188,-6.636,2.259,-1.117,-1.006,0.32280592213231,0.70528739099945,-5.09942328662577
ENSG00000162913.10,OBSCN-AS1,OBSCN-AS1,-1.056,-3.202,1.091,-1.815,-1.005,0.322897534665404,0.705413204090402,-5.2040015528693
ENSG00000288873.2,,,0.544,-0.562,1.651,-2.034,1.005,0.322940691967464,0.705428098937671,-5.39536834933513
ENSG00000051009.11,FHIP1B,FHIP1B,-0.152,-0.46,0.157,4.192,-1.005,0.322972411337069,0.705428098937671,-6.34704570042909
ENSG00000215788.11,TNFRSF25,TNFRSF25,-0.273,-0.829,0.282,2.708,-1.005,0.323085949281912,0.705532159302828,-6.36629572204042
ENSG00000288784.1,CTAGE4,CTAGE4,-1.254,-3.804,1.296,0.04,-1.005,0.323143997276272,0.705532159302828,-5.41579531693553
ENSG00000177181.15,RIMKLA,RIMKLA,-2.023,-6.138,2.092,-1.2,-1.005,0.323146470365053,0.705532159302828,-5.17737027634288
ENSG00000113070.8,HBEGF,HBEGF,0.42,-0.434,1.274,4.327,1.005,0.323156191634363,0.705532159302828,-6.4628753184267
ENSG00000198843.14,SELENOT,SELENOT,-0.25,-0.757,0.258,7.382,-1.004,0.323434827809051,0.706066131053247,-6.59320780928965
ENSG00000074855.11,ANO8,ANO8,0.274,-0.284,0.832,3.723,1.004,0.32350101868915,0.706136265918298,-6.1245674978045
ENSG00000105376.5,ICAM5,ICAM5,-1.049,-3.183,1.086,1.042,-1.004,0.323563698531261,0.706198722947255,-5.31158668584646
ENSG00000135525.19,MAP7,MAP7,-0.372,-1.13,0.386,3.971,-1.004,0.323684981083628,0.70638905757065,-5.59940149862883
ENSG00000178878.13,APOLD1,APOLD1,-0.352,-1.067,0.364,2.819,-1.004,0.323743647840218,0.706442717866076,-5.9825509720195
ENSG00000119638.14,NEK9,NEK9,0.178,-0.184,0.54,6.065,1.003,0.324041827364383,0.707018953927341,-6.53670385026187
ENSG00000099337.5,KCNK6,KCNK6,0.317,-0.329,0.962,5.549,1.003,0.324151610715468,0.707184054949658,-6.55929200287035
ENSG00000291054.1,,,0.644,-0.669,1.957,-0.296,1.003,0.324237646194454,0.7072973172273,-5.45236033398804
ENSG00000180398.13,MCFD2,MCFD2,-0.295,-0.897,0.306,7.201,-1.002,0.324294501699275,0.707346908693809,-6.59741843158661
ENSG00000213139.8,CRYGS,CRYGS,-0.365,-1.11,0.38,-1.082,-1.002,0.324482910513654,0.707613006213416,-5.5652123505371
ENSG00000290945.1,UBE2Q2P2,UBE2Q2P2,0.357,-0.371,1.086,0.048,1.002,0.324484767827532,0.707613006213416,-5.55370315242068
ENSG00000276045.4,ORAI1,ORAI1,-0.227,-0.69,0.236,4.212,-1.002,0.324595755948487,0.707780584917653,-6.28408259733808
ENSG00000089351.15,GRAMD1A,GRAMD1A,-0.32,-0.974,0.333,4.84,-1.002,0.324650162507702,0.707824765332843,-6.3509246978073
ENSG00000158815.11,FGF17,FGF17,1.051,-1.094,3.196,-3.448,1.001,0.324742295852404,0.707854242176635,-5.14708516693538
ENSG00000161618.10,ALDH16A1,ALDH16A1,-0.296,-0.899,0.308,4.56,-1.001,0.324756706804396,0.707854242176635,-6.41097048462341
ENSG00000293256.1,,CBX3P2,-0.659,-2.003,0.686,-2.282,-1.001,0.324766121434731,0.707854242176635,-5.32767960138591
