ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000164611.13,PTTG1,PTTG1,-0.143,-2.295,2.009,4.305,-0.136,0.892980072342609,0.999984495355126,-4.75065093480427
ENSG00000176658.17,MYO1D,MYO1D,-0.056,-0.9,0.788,6.793,-0.136,0.893039980461223,0.999984495355126,-4.93177167874366
ENSG00000173581.8,CCDC106,CCDC106,0.052,-0.731,0.835,3.502,0.136,0.893098168842119,0.999984495355126,-4.73462856685432
ENSG00000173627.8,APOBEC4,APOBEC4,-0.123,-1.979,1.733,-3.516,-0.136,0.893122100082762,0.999984495355126,-4.62505120680524
ENSG00000120306.11,CYSTM1,CYSTM1,-0.044,-0.705,0.618,5.763,-0.135,0.893163752814793,0.999984495355126,-4.88023160729819
ENSG00000100170.10,SLC5A1,SLC5A1,-0.085,-1.369,1.199,-1.069,-0.135,0.893194442773476,0.999984495355126,-4.67738285137789
ENSG00000183971.10,NPW,NPW,0.089,-1.261,1.44,-0.733,0.135,0.893225155500236,0.999984495355126,-4.6314098085946
ENSG00000285336.1,,,-0.251,-4.035,3.534,-5.845,-0.135,0.89323627543536,0.999984495355126,-4.61170328690374
ENSG00000118526.7,TCF21,TCF21,-0.251,-4.037,3.535,-5.005,-0.135,0.893276643355953,0.999984495355126,-4.61146494290662
ENSG00000163808.17,KIF15,KIF15,0.139,-1.966,2.245,2.284,0.135,0.893299440362662,0.999984495355126,-4.66936912613408
ENSG00000173253.16,DMRT2,DMRT2,-0.075,-1.202,1.053,-1.541,-0.135,0.893396215143185,0.999984495355126,-4.67469415738056
