ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000179978.11,NAIPP2,NAIPP2,1.822,0.461,2.132,0.041,0.171,-3.98108529241898
ENSG00000241280.1,,,1.133,-1.003,2.137,0.041,0.17,-4.09522313553243
ENSG00000272916.5,,,0.752,0.847,2.141,0.041,0.169,-4.10781887966506
ENSG00000257379.1,,,1.756,1.881,2.134,0.041,0.171,-4.27132788312295
ENSG00000241860.7,,,1.268,1.825,2.138,0.041,0.17,-4.30755776857226
ENSG00000170837.3,GPR27,GPR27,-1.02,-1.777,-2.14,0.041,0.169,-4.33478070560069
ENSG00000273154.3,,,0.559,2.28,2.132,0.041,0.171,-4.47746097744254
ENSG00000141179.14,PCTP,PCTP,-0.701,4.287,-2.137,0.041,0.17,-4.48661314069898
ENSG00000101442.10,ACTR5,ACTR5,0.341,3.204,2.138,0.041,0.17,-4.51580805948087
ENSG00000197928.11,ZNF677,ZNF677,-0.533,3.303,-2.136,0.041,0.17,-4.53608512576877
ENSG00000143674.11,MAP3K21,MAP3K21,0.412,2.017,2.139,0.041,0.17,-4.63079222443497
ENSG00000124688.14,MAD2L1BP,MAD2L1BP,-0.348,4.49,-2.142,0.041,0.169,-4.64613995767083
ENSG00000100104.13,SRRD,SRRD,-0.465,4.097,-2.137,0.041,0.17,-4.70004472156755
ENSG00000107362.14,ABHD17B,ABHD17B,-0.518,4.782,-2.14,0.041,0.169,-4.71047567634379
ENSG00000204946.10,ZNF783,ZNF783,0.499,3.826,2.137,0.041,0.17,-4.750294181058
ENSG00000089060.12,SLC8B1,SLC8B1,0.477,4.861,2.138,0.041,0.17,-4.77778800198753
ENSG00000101544.9,ADNP2,ADNP2,-0.401,4.992,-2.135,0.041,0.17,-4.81026277874135
ENSG00000104866.11,PPP1R37,PPP1R37,0.445,5.299,2.139,0.041,0.169,-4.82337010715048
ENSG00000131171.13,SH3BGRL,SH3BGRL,-0.474,6.4,-2.133,0.041,0.171,-4.82987260997823
ENSG00000123131.13,PRDX4,PRDX4,-0.384,6.264,-2.141,0.041,0.169,-4.83806871815051
ENSG00000008083.14,JARID2,JARID2,0.477,5.007,2.142,0.041,0.169,-4.88663700037795
ENSG00000249915.9,PDCD6,PDCD6,-0.4,6.387,-2.135,0.041,0.17,-4.90934696299475
ENSG00000164164.17,OTUD4,OTUD4,0.377,6.236,2.143,0.041,0.169,-4.91040309393241
ENSG00000076928.20,ARHGEF1,ARHGEF1,0.303,5.983,2.142,0.041,0.169,-4.92936013840057
ENSG00000120913.24,PDLIM2,PDLIM2,0.624,5.494,2.132,0.041,0.171,-4.93234843660625
ENSG00000106105.15,GARS1,GARS1,0.407,7.288,2.141,0.041,0.169,-4.94046735788039
ENSG00000122705.18,CLTA,CLTA,-0.337,7.662,-2.139,0.041,0.169,-4.94605864334075
ENSG00000221978.13,CCNL2,CCNL2,0.352,6.527,2.134,0.041,0.171,-4.94720668959691
ENSG00000171840.13,NINJ2,NINJ2,-1.725,-1.121,-2.127,0.042,0.173,-3.78964679488727
ENSG00000111218.12,PRMT8,PRMT8,2.545,-3.242,2.126,0.042,0.173,-3.81602343917246
