# TIMESTAMP|SAMPLE_ID|JOBID|STATUS|ELAPSED_TIME|NODE
2026-01-13 17:39:27|sample13|4274645|R|46:05|stratus01.bwh.harvard.edu
2026-01-13 17:39:27|sample14|4274647|R|45:40|stratus01.bwh.harvard.edu
2026-01-13 17:39:27|sample15|4274651|R|45:15|stratus01.bwh.harvard.edu
2026-01-13 17:39:28|sample16|4274655|R|44:25|derby16.bwh.harvard.edu
2026-01-13 17:39:28|sample17|4274659|R|43:46|cirrus02.bwh.harvard.edu
2026-01-13 17:39:28|sample18|4274664|R|42:57|stratus03.bwh.harvard.edu
2026-01-13 17:39:29|sample38|4274825|R|25:18|green07.bwh.harvard.edu
2026-01-13 17:41:29|sample1|4274613|R|52:46|cirrus02.bwh.harvard.edu
2026-01-13 17:41:29|sample2|4274614|R|52:33|cirrus02.bwh.harvard.edu
2026-01-13 17:41:29|sample3|4274615|R|52:20|cirrus02.bwh.harvard.edu
2026-01-13 17:41:29|sample4|4274617|R|51:54|green07.bwh.harvard.edu
2026-01-13 17:41:30|sample5|4274619|R|51:31|green07.bwh.harvard.edu
2026-01-13 17:41:30|sample6|4274622|R|51:05|green07.bwh.harvard.edu
2026-01-13 17:41:30|sample7|4274626|R|50:40|chanstack2.bwh.harvard.edu
2026-01-13 17:41:30|sample8|4274630|R|50:15|chanstack3.bwh.harvard.edu
2026-01-13 17:41:30|sample9|4274633|R|49:47|stratus03.bwh.harvard.edu
2026-01-13 17:41:31|sample10|4274637|R|49:23|stratus03.bwh.harvard.edu
2026-01-13 17:41:31|sample11|4274639|R|49:00|stratus03.bwh.harvard.edu
2026-01-13 17:41:32|sample12|4274642|R|48:36|stratus01.bwh.harvard.edu
2026-01-13 17:41:32|sample13|4274645|R|48:10|stratus01.bwh.harvard.edu
2026-01-13 17:41:32|sample14|4274647|R|47:45|stratus01.bwh.harvard.edu
2026-01-13 17:41:33|sample15|4274651|R|47:21|stratus01.bwh.harvard.edu
2026-01-13 17:41:33|sample16|4274655|R|46:30|derby16.bwh.harvard.edu
